"Time (s) Run #1";"Angle (rad) Run #1";"Position (m) Run #1";"Magnetic Field Strength (100X) (T) Run #1"
30,600;5,341;0,1487;2,0E-6
30,650;5,341;0,1487;
30,700;5,342;0,1488;2,0E-6
30,750;5,342;0,1488;
30,800;5,342;0,1488;1,9E-6
30,850;5,342;0,1488;
30,900;5,342;0,1488;2,0E-6
30,950;5,342;0,1488;
31,000;5,342;0,1488;1,9E-6
31,050;5,342;0,1488;
31,100;5,342;0,1488;2,0E-6
31,150;5,342;0,1488;
31,200;5,341;0,1487;1,9E-6
31,250;5,341;0,1487;
31,300;5,341;0,1487;1,9E-6
31,350;5,341;0,1487;
31,400;5,341;0,1487;1,9E-6
31,450;5,341;0,1487;
31,500;5,341;0,1487;1,9E-6
31,550;5,341;0,1487;
31,600;5,341;0,1487;1,9E-6
31,650;5,341;0,1487;
31,700;5,341;0,1487;1,9E-6
