"Time (s) Run #2";"Angle (rad) Run #2";"Position (m) Run #2";"Magnetic Field Strength (100X) (T) Run #2"
48,500;6,084;0,1694;3,6E-6
48,600;6,084;0,1694;3,5E-6
48,700;6,084;0,1694;3,5E-6
48,800;6,084;0,1694;3,5E-6
48,900;6,084;0,1694;3,5E-6
49,000;6,084;0,1694;3,6E-6
49,100;6,084;0,1694;3,6E-6
49,200;6,084;0,1694;3,6E-6
49,300;6,084;0,1694;3,6E-6
49,400;6,084;0,1694;3,6E-6
49,500;6,084;0,1694;3,6E-6
49,600;6,084;0,1694;3,6E-6
49,700;6,084;0,1694;3,6E-6
49,800;6,084;0,1694;3,6E-6
49,900;6,084;0,1694;3,6E-6
50,000;6,084;0,1694;3,6E-6
50,100;6,084;0,1694;3,6E-6
50,200;6,084;0,1694;3,6E-6
50,300;6,084;0,1694;3,6E-6
50,400;6,084;0,1694;3,5E-6
50,500;6,084;0,1694;3,5E-6
50,600;6,084;0,1694;3,5E-6
50,700;6,084;0,1694;3,6E-6
50,800;6,084;0,1694;3,6E-6
50,900;6,084;0,1694;3,6E-6
51,000;6,084;0,1694;3,5E-6
51,100;6,082;0,1694;3,6E-6
51,200;6,079;0,1693;3,6E-6
51,300;6,077;0,1693;3,7E-6
51,400;6,076;0,1692;3,7E-6
51,500;6,076;0,1692;3,6E-6
51,600;6,073;0,1691;3,6E-6
51,700;6,059;0,1687;3,6E-6
51,800;6,038;0,1682;3,7E-6
51,900;6,019;0,1676;3,7E-6
52,000;5,993;0,1669;3,7E-6
52,100;5,952;0,1658;3,8E-6
52,200;5,909;0,1646;3,9E-6
52,300;5,872;0,1635;4,0E-6
52,400;5,834;0,1625;4,1E-6
52,500;5,792;0,1613;4,2E-6
52,600;5,746;0,1600;4,2E-6
52,700;5,705;0,1589;4,3E-6
52,800;5,658;0,1576;4,4E-6
52,900;5,605;0,1561;4,5E-6
53,000;5,545;0,1544;4,7E-6
53,100;5,484;0,1527;4,9E-6
53,200;5,413;0,1508;5,0E-6
53,300;5,328;0,1484;5,2E-6
53,400;5,229;0,1456;5,5E-6
53,500;5,129;0,1428;5,8E-6
53,600;5,034;0,1402;6,0E-6
53,700;4,942;0,1376;6,4E-6
53,800;4,840;0,1348;6,7E-6
53,900;4,738;0,1319;7,1E-6
54,000;4,651;0,1295;7,4E-6
54,100;4,579;0,1275;7,8E-6
54,200;4,513;0,1257;8,1E-6
54,300;4,453;0,1240;8,3E-6
54,400;4,392;0,1223;8,6E-6
54,500;4,326;0,1205;8,9E-6
54,600;4,262;0,1187;9,2E-6
54,700;4,208;0,1172;9,5E-6
54,800;4,167;0,1161;9,7E-6
54,900;4,126;0,1149;9,9E-6
55,000;4,089;0,1139;1,0E-5
55,100;4,050;0,1128;1,0E-5
55,200;4,006;0,1116;1,1E-5
55,300;3,960;0,1103;1,1E-5
55,400;3,913;0,1090;1,1E-5
55,500;3,864;0,1076;1,2E-5
55,600;3,822;0,1064;1,2E-5
55,700;3,790;0,1056;1,2E-5
55,800;3,767;0,1049;1,2E-5
55,900;3,745;0,1043;1,2E-5
56,000;3,718;0,1036;1,3E-5
56,100;3,690;0,1028;1,3E-5
56,200;3,665;0,1021;1,3E-5
56,300;3,635;0,1012;1,3E-5
56,400;3,602;0,1003;1,3E-5
56,500;3,566;0,0993;1,4E-5
56,600;3,528;0,0983;1,4E-5
56,700;3,490;0,0972;1,4E-5
56,800;3,456;0,0962;1,5E-5
56,900;3,421;0,0953;1,5E-5
57,000;3,393;0,0945;1,5E-5
57,100;3,363;0,0937;1,5E-5
57,200;3,333;0,0928;1,6E-5
57,300;3,300;0,0919;1,6E-5
57,400;3,263;0,0909;1,6E-5
57,500;3,219;0,0896;1,7E-5
57,600;3,175;0,0884;1,7E-5
57,700;3,131;0,0872;1,7E-5
57,800;3,093;0,0861;1,8E-5
57,900;3,058;0,0852;1,8E-5
58,000;3,018;0,0840;1,8E-5
58,100;2,964;0,0826;1,9E-5
58,200;2,908;0,0810;2,0E-5
58,300;2,848;0,0793;2,0E-5
58,400;2,796;0,0779;2,1E-5
58,500;2,750;0,0766;2,1E-5
58,600;2,703;0,0753;2,2E-5
58,700;2,663;0,0742;2,2E-5
58,800;2,636;0,0734;2,2E-5
58,900;2,612;0,0728;2,3E-5
59,000;2,590;0,0721;2,3E-5
59,100;2,565;0,0714;2,3E-5
59,200;2,535;0,0706;2,4E-5
59,300;2,509;0,0699;2,4E-5
59,400;2,480;0,0691;2,4E-5
59,500;2,450;0,0682;2,4E-5
59,600;2,421;0,0674;2,5E-5
59,700;2,384;0,0664;2,5E-5
59,800;2,342;0,0652;2,6E-5
59,900;2,293;0,0639;2,6E-5
60,000;2,242;0,0624;2,7E-5
60,100;2,194;0,0611;2,7E-5
60,200;2,147;0,0598;2,8E-5
60,300;2,105;0,0586;2,8E-5
60,400;2,064;0,0575;2,9E-5
60,500;2,025;0,0564;2,9E-5
60,600;1,985;0,0553;3,0E-5
60,700;1,948;0,0542;3,0E-5
60,800;1,909;0,0532;3,0E-5
60,900;1,868;0,0520;3,1E-5
61,000;1,830;0,0510;3,1E-5
61,100;1,799;0,0501;3,1E-5
61,200;1,764;0,0491;3,2E-5
61,300;1,726;0,0481;3,2E-5
61,400;1,685;0,0469;3,2E-5
61,500;1,641;0,0457;3,3E-5
61,600;1,599;0,0445;3,3E-5
61,700;1,557;0,0434;3,3E-5
61,800;1,525;0,0425;3,3E-5
61,900;1,489;0,0415;3,4E-5
62,000;1,444;0,0402;3,4E-5
62,100;1,393;0,0388;3,4E-5
62,200;1,340;0,0373;3,5E-5
62,300;1,286;0,0358;3,5E-5
62,400;1,235;0,0344;3,5E-5
62,500;1,188;0,0331;3,5E-5
62,600;1,145;0,0319;3,6E-5
62,700;1,104;0,0308;3,6E-5
62,800;1,060;0,0295;3,6E-5
62,900;1,010;0,0281;3,6E-5
63,000;0,950;0,0265;3,6E-5
63,100;0,891;0,0248;3,6E-5
63,200;0,839;0,0234;3,6E-5
63,300;0,792;0,0220;3,6E-5
63,400;0,737;0,0205;3,7E-5
63,500;0,677;0,0189;3,7E-5
63,600;0,625;0,0174;3,7E-5
63,700;0,583;0,0162;3,7E-5
63,800;0,542;0,0151;3,7E-5
63,900;0,498;0,0139;3,7E-5
64,000;0,445;0,0124;3,7E-5
64,100;0,393;0,0109;3,7E-5
64,200;0,342;0,0095;3,7E-5
64,300;0,291;0,0081;3,7E-5
64,400;0,239;0,0066;3,7E-5
64,500;0,193;0,0054;3,7E-5
64,600;0,146;0,0041;3,7E-5
64,700;0,099;0,0028;3,7E-5
64,800;0,041;0,0011;3,7E-5
64,900;-0,024;-6,5625E-4;3,7E-5
65,000;-0,088;-0,0025;3,7E-5
65,100;-0,145;-0,0040;3,7E-5
65,200;-0,195;-0,0054;3,7E-5
65,300;-0,247;-0,0069;3,7E-5
65,400;-0,287;-0,0080;3,7E-5
65,500;-0,331;-0,0092;3,7E-5
65,600;-0,385;-0,0107;3,7E-5
